"service_id","date","exception_type"
"GO104_161","20160307","1"
"GO104_161","20160308","1"
"GO104_161","20160309","1"
"GO104_161","20160310","1"
"GO104_161","20160311","1"
"GO104_161","20160314","1"
"GO104_161","20160315","1"
"GO104_161","20160316","1"
"GO104_161","20160317","1"
"GO104_161","20160318","1"
"GO104_161","20160321","1"
"GO104_161","20160322","1"
"GO104_161","20160323","1"
"GO104_161","20160324","1"
"GO104_161","20160325","1"
"GO104_161","20160328","1"
"GO104_161","20160329","1"
"GO104_161","20160330","1"
"GO104_161","20160331","1"
"GO104_161","20160401","1"
"GO104_161","20160404","1"
"GO104_161","20160405","1"
"GO104_161","20160406","1"
"GO104_161","20160407","1"
"GO104_161","20160408","1"
"GO104_161","20160411","1"
"GO104_161","20160412","1"
"GO104_161","20160413","1"
"GO104_161","20160414","1"
"GO104_161","20160415","1"
"GO104_161","20160418","1"
"GO104_161","20160419","1"
"GO104_161","20160420","1"
"GO104_161","20160421","1"
"GO104_161","20160422","1"
"GO104_161","20160425","1"
"GO104_161","20160426","1"
"GO104_161","20160427","1"
"GO104_161","20160428","1"
"GO104_161","20160429","1"
"GO104_161","20160502","1"
"GO104_161","20160503","1"
"GO104_161","20160504","1"
"GO104_161","20160505","1"
"GO104_161","20160506","1"
"GO104_161","20160509","1"
"GO104_161","20160510","1"
"GO104_161","20160511","1"
"GO104_161","20160512","1"
"GO104_161","20160513","1"
"GO104_161","20160516","1"
"GO104_161","20160517","1"
"GO104_161","20160518","1"
"GO104_161","20160519","1"
"GO104_161","20160520","1"
"GO104_162","20160312","1"
"GO104_162","20160313","1"
"GO104_162","20160319","1"
"GO104_162","20160320","1"
"GO104_162","20160326","1"
"GO104_162","20160327","1"
"GO104_162","20160402","1"
"GO104_162","20160403","1"
"GO104_162","20160409","1"
"GO104_162","20160410","1"
"GO104_162","20160416","1"
"GO104_162","20160417","1"
"GO104_162","20160423","1"
"GO104_162","20160424","1"
"GO104_162","20160430","1"
"GO104_162","20160501","1"
"GO104_162","20160507","1"
"GO104_162","20160508","1"
"GO104_162","20160514","1"
"GO104_162","20160515","1"
"GO104_162","20160521","1"
"GO104_162","20160522","1"
"GO104_163","20160312","1"
"GO104_163","20160319","1"
"GO104_163","20160326","1"
"GO104_163","20160402","1"
"GO104_163","20160409","1"
"GO104_163","20160416","1"
"GO104_163","20160423","1"
"GO104_163","20160430","1"
"GO104_163","20160507","1"
"GO104_163","20160514","1"
"GO104_163","20160521","1"
"GO104_164","20160310","1"
"GO104_164","20160311","1"
"GO104_164","20160317","1"
"GO104_164","20160318","1"
"GO104_164","20160324","1"
"GO104_164","20160325","1"
"GO104_164","20160331","1"
"GO104_164","20160401","1"
"GO104_164","20160407","1"
"GO104_164","20160408","1"
"GO104_164","20160414","1"
"GO104_164","20160415","1"
"GO104_164","20160421","1"
"GO104_164","20160422","1"
"GO104_164","20160428","1"
"GO104_164","20160429","1"
"GO104_164","20160505","1"
"GO104_164","20160506","1"
"GO104_164","20160512","1"
"GO104_164","20160513","1"
"GO104_164","20160519","1"
"GO104_164","20160520","1"
"GO104_165","20160317","1"
"GO104_165","20160325","1"
"GO104_165","20160422","1"
"GO104_166","20160307","1"
"GO104_166","20160308","1"
"GO104_166","20160309","1"
"GO104_166","20160310","1"
"GO104_166","20160311","1"
"GO104_166","20160314","1"
"GO104_166","20160315","1"
"GO104_166","20160316","1"
"GO104_166","20160317","1"
"GO104_166","20160318","1"
"GO104_166","20160321","1"
"GO104_166","20160322","1"
"GO104_166","20160323","1"
"GO104_166","20160324","1"
"GO104_166","20160325","1"
"GO104_166","20160328","1"
"GO104_166","20160329","1"
"GO104_166","20160330","1"
"GO104_166","20160331","1"
"GO104_166","20160401","1"
"GO104_166","20160404","1"
"GO104_166","20160405","1"
"GO104_166","20160406","1"
"GO104_166","20160407","1"
"GO104_166","20160408","1"
"GO104_166","20160411","1"
"GO104_166","20160412","1"
"GO104_166","20160413","1"
"GO104_166","20160414","1"
"GO104_166","20160415","1"
"GO104_166","20160418","1"
"GO104_166","20160419","1"
"GO104_166","20160420","1"
"GO104_166","20160421","1"
"GO104_166","20160422","1"
"GO104_166","20160425","1"
"GO104_166","20160426","1"
"GO104_166","20160427","1"
"GO104_166","20160428","1"
"GO104_166","20160429","1"
"GO104_166","20160502","1"
"GO104_166","20160503","1"
"GO104_166","20160504","1"
"GO104_166","20160505","1"
"GO104_166","20160506","1"
"GO104_166","20160509","1"
"GO104_166","20160510","1"
"GO104_166","20160511","1"
"GO104_166","20160512","1"
"GO104_166","20160513","1"
"GO104_166","20160516","1"
"GO104_166","20160517","1"
"GO104_166","20160518","1"
"GO104_166","20160519","1"
"GO104_166","20160520","1"
"GO104_167","20160307","1"
"GO104_167","20160308","1"
"GO104_167","20160309","1"
"GO104_167","20160310","1"
"GO104_167","20160314","1"
"GO104_167","20160315","1"
"GO104_167","20160316","1"
"GO104_167","20160317","1"
"GO104_167","20160321","1"
"GO104_167","20160322","1"
"GO104_167","20160323","1"
"GO104_167","20160324","1"
"GO104_167","20160328","1"
"GO104_167","20160329","1"
"GO104_167","20160330","1"
"GO104_167","20160331","1"
"GO104_167","20160404","1"
"GO104_167","20160405","1"
"GO104_167","20160406","1"
"GO104_167","20160407","1"
"GO104_167","20160411","1"
"GO104_167","20160412","1"
"GO104_167","20160413","1"
"GO104_167","20160414","1"
"GO104_167","20160418","1"
"GO104_167","20160419","1"
"GO104_167","20160420","1"
"GO104_167","20160421","1"
"GO104_167","20160425","1"
"GO104_167","20160426","1"
"GO104_167","20160427","1"
"GO104_167","20160428","1"
"GO104_167","20160502","1"
"GO104_167","20160503","1"
"GO104_167","20160504","1"
"GO104_167","20160505","1"
"GO104_167","20160509","1"
"GO104_167","20160510","1"
"GO104_167","20160511","1"
"GO104_167","20160512","1"
"GO104_167","20160516","1"
"GO104_167","20160517","1"
"GO104_167","20160518","1"
"GO104_167","20160519","1"
"GO104_168","20160311","1"
"GO104_168","20160318","1"
"GO104_168","20160325","1"
"GO104_168","20160401","1"
"GO104_168","20160408","1"
"GO104_168","20160415","1"
"GO104_168","20160422","1"
"GO104_168","20160429","1"
"GO104_168","20160506","1"
"GO104_168","20160513","1"
"GO104_168","20160520","1"
"GO104_169","20160308","1"
"GO104_169","20160309","1"
"GO104_169","20160310","1"
"GO104_169","20160311","1"
"GO104_169","20160315","1"
"GO104_169","20160316","1"
"GO104_169","20160317","1"
"GO104_169","20160318","1"
"GO104_169","20160322","1"
"GO104_169","20160323","1"
"GO104_169","20160324","1"
"GO104_169","20160325","1"
"GO104_169","20160329","1"
"GO104_169","20160330","1"
"GO104_169","20160331","1"
"GO104_169","20160401","1"
"GO104_169","20160405","1"
"GO104_169","20160406","1"
"GO104_169","20160407","1"
"GO104_169","20160408","1"
"GO104_169","20160412","1"
"GO104_169","20160413","1"
"GO104_169","20160414","1"
"GO104_169","20160415","1"
"GO104_169","20160419","1"
"GO104_169","20160420","1"
"GO104_169","20160421","1"
"GO104_169","20160422","1"
"GO104_169","20160426","1"
"GO104_169","20160427","1"
"GO104_169","20160428","1"
"GO104_169","20160429","1"
"GO104_169","20160503","1"
"GO104_169","20160504","1"
"GO104_169","20160505","1"
"GO104_169","20160506","1"
"GO104_169","20160510","1"
"GO104_169","20160511","1"
"GO104_169","20160512","1"
"GO104_169","20160513","1"
"GO104_169","20160517","1"
"GO104_169","20160518","1"
"GO104_169","20160519","1"
"GO104_169","20160520","1"
"GO104_1610","20160311","1"
"GO104_1610","20160318","1"
"GO104_1610","20160325","1"
"GO104_1610","20160401","1"
"GO104_1610","20160408","1"
"GO104_1610","20160415","1"
"GO104_1610","20160422","1"
"GO104_1610","20160429","1"
"GO104_1610","20160506","1"
"GO104_1610","20160513","1"
"GO104_1610","20160520","1"
"GO104_1611","20160307","1"
"GO104_1611","20160308","1"
"GO104_1611","20160309","1"
"GO104_1611","20160310","1"
"GO104_1611","20160311","1"
"GO104_1611","20160314","1"
"GO104_1611","20160315","1"
"GO104_1611","20160316","1"
"GO104_1611","20160318","1"
"GO104_1611","20160321","1"
"GO104_1611","20160322","1"
"GO104_1611","20160323","1"
"GO104_1611","20160324","1"
"GO104_1611","20160328","1"
"GO104_1611","20160329","1"
"GO104_1611","20160330","1"
"GO104_1611","20160331","1"
"GO104_1611","20160401","1"
"GO104_1611","20160404","1"
"GO104_1611","20160405","1"
"GO104_1611","20160406","1"
"GO104_1611","20160407","1"
"GO104_1611","20160408","1"
"GO104_1611","20160411","1"
"GO104_1611","20160412","1"
"GO104_1611","20160413","1"
